# round	mode	threads	workers	kind	index	value_us	collections
1	unsafe	1	0	reset	39	0.07	0
1	unsafe	1	0	reset	40	0.09	0
1	unsafe	1	0	reset	41	0.08	0
1	unsafe	1	0	reset	42	0.08	0
1	unsafe	1	0	reset	43	0.07	0
1	unsafe	1	0	reset	44	0.091	0
1	unsafe	1	0	reset	45	0.09	0
1	unsafe	1	0	reset	46	0.08	0
1	unsafe	1	0	reset	47	0.1	0
1	unsafe	1	0	reset	48	0.08	0
1	unsafe	1	0	reset	49	0.1	0
1	unsafe	1	0	reset	50	0.08	0
1	unsafe	1	0	reset	51	0.121	0
1	unsafe	1	0	reset	52	0.07	0
1	unsafe	1	0	reset	53	0.081	0
1	unsafe	1	0	reset	54	0.09	0
1	unsafe	1	0	reset	55	0.09	0
1	unsafe	1	0	reset	56	0.07	0
1	unsafe	1	0	reset	57	0.141	0
1	unsafe	1	0	reset	58	0.09	0
1	unsafe	1	0	reset	59	0.07	0
1	unsafe	1	0	reset	60	0.08	0
1	unsafe	1	0	reset	61	0.11	0
1	unsafe	1	0	reset	62	0.08	0
1	unsafe	1	0	reset	63	0.09	0
1	unsafe	1	0	reset	64	0.08	0
1	unsafe	1	0	reset	65	0.1	0
1	unsafe	1	0	reset	66	0.08	0
1	unsafe	1	0	reset	67	0.071	0
1	unsafe	1	0	reset	68	0.08	0
1	unsafe	1	0	reset	69	0.07	0
1	unsafe	1	0	reset	70	0.08	0
1	unsafe	1	0	reset	71	0.09	0
1	unsafe	1	0	reset	72	0.071	0
1	unsafe	1	0	reset	73	0.07	0
1	unsafe	1	0	reset	74	0.1	0
1	unsafe	1	0	reset	75	0.11	0
1	unsafe	1	0	reset	76	0.08	0
1	unsafe	1	0	reset	77	0.07	0
1	unsafe	1	0	reset	78	0.101	0
1	unsafe	1	0	reset	79	0.08	0
1	unsafe	1	0	reset	80	0.081	0
1	unsafe	1	0	reset	81	0.09	0
1	unsafe	1	0	reset	82	0.07	0
1	unsafe	1	0	reset	83	0.07	0
1	unsafe	1	0	reset	84	0.09	0
1	unsafe	1	0	reset	85	0.1	0
1	unsafe	1	0	reset	86	0.09	0
1	unsafe	1	0	reset	87	0.08	0
1	unsafe	1	0	reset	88	0.09	0
1	unsafe	1	0	reset	89	0.09	0
1	unsafe	1	0	reset	90	0.081	0
1	unsafe	1	0	reset	91	0.08	0
1	unsafe	1	0	reset	92	0.111	0
1	unsafe	1	0	reset	93	0.09	0
1	unsafe	1	0	reset	94	0.08	0
1	unsafe	1	0	reset	95	0.08	0
1	unsafe	1	0	reset	96	0.07	0
1	unsafe	1	0	reset	97	0.08	0
1	unsafe	1	0	reset	98	0.07	0
1	unsafe	1	0	reset	99	0.07	0
1	unsafe	1	0	reset	100	0.1	0
1	unsafe	1	0	reset	101	0.07	0
1	unsafe	1	0	reset	102	0.08	0
1	unsafe	1	0	reset	103	0.08	0
1	unsafe	1	0	reset	104	0.08	0
1	unsafe	1	0	reset	105	0.09	0
1	unsafe	1	0	reset	106	0.07	0
1	unsafe	1	0	reset	107	0.07	0
1	unsafe	1	0	reset	108	0.09	0
1	unsafe	1	0	reset	109	0.08	0
1	unsafe	1	0	reset	110	0.1	0
1	unsafe	1	0	reset	111	0.091	0
1	unsafe	1	0	reset	112	0.08	0
1	unsafe	1	0	reset	113	0.08	0
1	unsafe	1	0	reset	114	0.08	0
1	unsafe	1	0	reset	115	0.1	0
1	unsafe	1	0	reset	116	0.08	0
1	unsafe	1	0	reset	117	0.08	0
1	unsafe	1	0	reset	118	0.07	0
1	unsafe	1	0	reset	119	0.09	0
1	unsafe	1	0	reset	120	0.06	0
1	unsafe	1	0	reset	121	0.081	0
1	unsafe	1	0	reset	122	0.091	0
1	unsafe	1	0	reset	123	0.071	0
1	unsafe	1	0	reset	124	0.08	0
1	unsafe	1	0	reset	125	0.07	0
1	unsafe	1	0	reset	126	0.07	0
1	unsafe	1	0	reset	127	0.09	0
1	unsafe	1	0	reset	128	0.09	0
1	unsafe	1	0	reset	129	0.081	0
1	unsafe	1	0	reset	130	0.16	0
1	unsafe	1	0	reset	131	0.11	0
1	unsafe	1	0	reset	132	0.07	0
1	unsafe	1	0	reset	133	0.1	0
1	unsafe	1	0	reset	134	0.08	0
1	unsafe	1	0	reset	135	0.081	0
1	unsafe	1	0	reset	136	0.07	0
1	unsafe	1	0	reset	137	0.071	0
1	unsafe	1	0	reset	138	0.08	0
1	unsafe	1	0	reset	139	0.1	0
1	unsafe	1	0	reset	140	0.071	0
1	unsafe	1	0	reset	141	0.09	0
1	unsafe	1	0	reset	142	0.07	0
1	unsafe	1	0	reset	143	0.081	0
1	unsafe	1	0	reset	144	0.07	0
1	unsafe	1	0	reset	145	0.09	0
1	unsafe	1	0	reset	146	0.081	0
1	unsafe	1	0	reset	147	0.07	0
1	unsafe	1	0	reset	148	0.07	0
1	unsafe	1	0	reset	149	0.07	0
1	unsafe	1	0	reset	150	0.08	0
1	unsafe	1	0	reset	151	0.08	0
1	unsafe	1	0	reset	152	0.11	0
1	unsafe	1	0	reset	153	0.08	0
1	unsafe	1	0	reset	154	0.071	0
1	unsafe	1	0	reset	155	0.08	0
1	unsafe	1	0	reset	156	0.07	0
1	unsafe	1	0	reset	157	0.08	0
1	unsafe	1	0	reset	158	0.08	0
1	unsafe	1	0	reset	159	0.09	0
1	unsafe	1	0	reset	160	0.08	0
1	unsafe	1	0	reset	161	0.08	0
1	unsafe	1	0	reset	162	0.09	0
1	unsafe	1	0	reset	163	0.08	0
1	unsafe	1	0	reset	164	0.13	0
1	unsafe	1	0	reset	165	0.2	0
1	unsafe	1	0	reset	166	0.081	0
1	unsafe	1	0	reset	167	0.09	0
1	unsafe	1	0	reset	168	0.09	0
1	unsafe	1	0	reset	169	0.08	0
1	unsafe	1	0	reset	170	0.07	0
1	unsafe	1	0	reset	171	0.07	0
1	unsafe	1	0	reset	172	0.09	0
1	unsafe	1	0	reset	173	0.09	0
1	unsafe	1	0	reset	174	0.09	0
1	unsafe	1	0	reset	175	0.08	0
1	unsafe	1	0	reset	176	0.08	0
1	unsafe	1	0	reset	177	0.1	0
1	unsafe	1	0	reset	178	0.07	0
1	unsafe	1	0	reset	179	0.07	0
1	unsafe	1	0	reset	180	0.09	0
1	unsafe	1	0	reset	181	0.1	0
1	unsafe	1	0	reset	182	0.07	0
1	unsafe	1	0	reset	183	0.08	0
1	unsafe	1	0	reset	184	0.08	0
1	unsafe	1	0	reset	185	0.08	0
1	unsafe	1	0	reset	186	0.09	0
1	unsafe	1	0	reset	187	0.09	0
1	unsafe	1	0	reset	188	0.08	0
1	unsafe	1	0	reset	189	0.08	0
1	unsafe	1	0	reset	190	0.14	0
1	unsafe	1	0	reset	191	0.07	0
1	unsafe	1	0	reset	192	0.1	0
1	unsafe	1	0	reset	193	0.09	0
1	unsafe	1	0	reset	194	0.091	0
1	unsafe	1	0	reset	195	0.09	0
1	unsafe	1	0	reset	196	0.09	0
1	unsafe	1	0	reset	197	0.09	0
1	unsafe	1	0	reset	198	0.07	0
1	unsafe	1	0	reset	199	0.09	0
1	unsafe	1	0	reset	200	0.07	0
1	checked	4	3	reset	1	44.865	0
1	checked	4	3	reset	2	41.098	0
1	checked	4	3	reset	3	189.958	0
1	checked	4	3	reset	4	14036.888	0
1	checked	4	3	reset	5	81.083	0
1	checked	4	3	reset	6	48.421	0
1	checked	4	3	reset	7	50.696	0
1	checked	4	3	reset	8	46.888	0
1	checked	4	3	reset	9	70.844	0
1	checked	4	3	reset	10	42.029	0
1	checked	4	3	reset	11	54.603	0
1	checked	4	3	reset	12	54.693	0
1	checked	4	3	reset	13	43.883	0
1	checked	4	3	reset	14	49.884	0
1	checked	4	3	reset	15	38.794	0
1	checked	4	3	reset	16	57.127	0
1	checked	4	3	reset	17	41.238	0
1	checked	4	3	reset	18	41.007	0
1	checked	4	3	reset	19	39.846	0
1	checked	4	3	reset	20	39.795	0
1	checked	4	3	reset	21	40.536	0
1	checked	4	3	reset	22	41.989	0
1	checked	4	3	reset	23	41.027	0
1	checked	4	3	reset	24	40.707	0
1	checked	4	3	reset	25	38.854	0
1	checked	4	3	reset	26	39.224	0
1	checked	4	3	reset	27	41.288	0
1	checked	4	3	reset	28	38.072	0
1	checked	4	3	reset	29	40.486	0
1	checked	4	3	reset	30	39.865	0
1	checked	4	3	reset	31	41.548	0
1	checked	4	3	reset	32	38.623	0
1	checked	4	3	reset	33	40.647	0
1	checked	4	3	reset	34	39.976	0
1	checked	4	3	reset	35	41.177	0
1	checked	4	3	reset	36	40.867	0
1	checked	4	3	reset	37	39.725	0
1	checked	4	3	reset	38	41.608	0
1	checked	4	3	reset	39	39.485	0
1	checked	4	3	reset	40	38.884	0
1	checked	4	3	reset	41	39.655	0
1	checked	4	3	reset	42	38.833	0
1	checked	4	3	reset	43	35.587	0
1	checked	4	3	reset	44	41.739	0
1	checked	4	3	reset	45	34.104	0
1	checked	4	3	reset	46	34.204	0
1	checked	4	3	reset	47	34.235	0
1	checked	4	3	reset	48	34.154	0
1	checked	4	3	reset	49	34.025	0
1	checked	4	3	reset	50	33.664	0
1	checked	4	3	reset	51	34.816	0
1	checked	4	3	reset	52	34.555	0
1	checked	4	3	reset	53	34.445	0
1	checked	4	3	reset	54	33.554	0
1	checked	4	3	reset	55	35.006	0
1	checked	4	3	reset	56	36.829	0
1	checked	4	3	reset	57	34.685	0
1	checked	4	3	reset	58	35.216	0
1	checked	4	3	reset	59	34.906	0
1	checked	4	3	reset	60	36.349	0
1	checked	4	3	reset	61	33.964	0
1	checked	4	3	reset	62	34.966	0
1	checked	4	3	reset	63	36.008	0
1	checked	4	3	reset	64	35.907	0
1	checked	4	3	reset	65	35.086	0
1	checked	4	3	reset	66	35.256	0
1	checked	4	3	reset	67	35.057	0
1	checked	4	3	reset	68	35.036	0
1	checked	4	3	reset	69	36.128	0
1	checked	4	3	reset	70	34.966	0
1	checked	4	3	reset	71	36.97	0
1	checked	4	3	reset	72	34.936	0
1	checked	4	3	reset	73	35.316	0
1	checked	4	3	reset	74	35.377	0
1	checked	4	3	reset	75	37.601	0
1	checked	4	3	reset	76	34.776	0
1	checked	4	3	reset	77	34.505	0
1	checked	4	3	reset	78	34.395	0
1	checked	4	3	reset	79	35.447	0
1	checked	4	3	reset	80	39.434	0
1	checked	4	3	reset	81	35.357	0
1	checked	4	3	reset	82	35.046	0
1	checked	4	3	reset	83	35.427	0
1	checked	4	3	reset	84	34.656	0
1	checked	4	3	reset	85	34.836	0
1	checked	4	3	reset	86	37.551	0
1	checked	4	3	reset	87	35.036	0
1	checked	4	3	reset	88	34.876	0
1	checked	4	3	reset	89	34.425	0
1	checked	4	3	reset	90	34.204	0
1	checked	4	3	reset	91	34.786	0
1	checked	4	3	reset	92	34.535	0
1	checked	4	3	reset	93	34.585	0
1	checked	4	3	reset	94	34.515	0
1	checked	4	3	reset	95	36.799	0
1	checked	4	3	reset	96	34.495	0
1	checked	4	3	reset	97	34.845	0
1	checked	4	3	reset	98	34.575	0
1	checked	4	3	reset	99	35.337	0
1	checked	4	3	reset	100	34.465	0
1	checked	4	3	reset	101	34.375	0
1	checked	4	3	reset	102	34.475	0
1	checked	4	3	reset	103	34.195	0
1	checked	4	3	reset	104	34.676	0
1	checked	4	3	reset	105	34.806	0
1	checked	4	3	reset	106	37.741	0
1	checked	4	3	reset	107	34.726	0
1	checked	4	3	reset	108	34.135	0
1	checked	4	3	reset	109	35.146	0
1	checked	4	3	reset	110	34.686	0
1	checked	4	3	reset	111	35.677	0
1	checked	4	3	reset	112	34.235	0
1	checked	4	3	reset	113	34.876	0
1	checked	4	3	reset	114	33.383	0
1	checked	4	3	reset	115	34.195	0
1	checked	4	3	reset	116	34.385	0
1	checked	4	3	reset	117	37.141	0
1	checked	4	3	reset	118	622.584	0
1	checked	4	3	reset	119	65.223	0
1	checked	4	3	reset	120	52.95	0
1	checked	4	3	reset	121	36.669	0
1	checked	4	3	reset	122	35.247	0
1	checked	4	3	reset	123	35.067	0
1	checked	4	3	reset	124	36.418	0
1	checked	4	3	reset	125	35.406	0
1	checked	4	3	reset	126	36.338	0
1	checked	4	3	reset	127	35.186	0
1	checked	4	3	reset	128	36.328	0
1	checked	4	3	reset	129	37.27	0
1	checked	4	3	reset	130	35.718	0
1	checked	4	3	reset	131	35.307	0
1	checked	4	3	reset	132	35.427	0
1	checked	4	3	reset	133	35.437	0
1	checked	4	3	reset	134	37.37	0
1	checked	4	3	reset	135	35.146	0
1	checked	4	3	reset	136	49.623	0
1	checked	4	3	reset	137	37.23	0
1	checked	4	3	reset	138	37.12	0
1	checked	4	3	reset	139	35.307	0
1	checked	4	3	reset	140	34.996	0
1	checked	4	3	reset	141	34.144	0
1	checked	4	3	reset	142	35.697	0
1	checked	4	3	reset	143	34.606	0
1	checked	4	3	reset	144	35.687	0
1	checked	4	3	reset	145	34.926	0
1	checked	4	3	reset	146	35.617	0
1	checked	4	3	reset	147	35.166	0
1	checked	4	3	reset	148	36.148	0
1	checked	4	3	reset	149	36.619	0
1	checked	4	3	reset	150	35.196	0
1	checked	4	3	reset	151	38.012	0
1	checked	4	3	reset	152	35.998	0
1	checked	4	3	reset	153	34.224	0
1	checked	4	3	reset	154	36.859	0
1	checked	4	3	reset	155	35.176	0
1	checked	4	3	reset	156	36.519	0
1	checked	4	3	reset	157	35.527	0
1	checked	4	3	reset	158	35.327	0
1	checked	4	3	reset	159	35.237	0
1	checked	4	3	reset	160	35.588	0
1	checked	4	3	reset	161	35.397	0
1	checked	4	3	reset	162	35.356	0
1	checked	4	3	reset	163	35.688	0
