# t_s	rss_mb	live_mb	reset_pages	misses
629.99990016	333.45536	226.805656	3	0
639.999900122	333.45536	229.738872	3	0
649.999900123	333.45536	232.672264	3	0
659.999900154	333.45536	235.605656	3	0
669.999900123	333.45536	238.538872	3	0
679.999900129	333.45536	241.472264	3	0
689.99990016	333.45536	244.405656	3	0
699.999900124	333.45536	247.338872	3	0
709.999900136	333.45536	250.272264	3	0
719.999900168	333.45536	253.205656	3	0
729.999900119	333.45536	256.138872	3	0
739.999900132	333.45536	259.072264	3	0
749.999900165	333.45536	262.005656	3	0
759.999900126	333.45536	264.938872	3	0
769.999900126	333.45536	267.872264	3	0
779.999900179	333.45536	270.805656	3	0
789.999900122	333.45536	273.738872	3	0
799.999900115	333.45536	276.672264	3	0
809.999900167	333.45536	279.605656	3	0
819.999900129	333.45536	282.538872	3	0
829.99990012	333.45536	285.472264	3	0
839.999900173	333.45536	288.405656	3	0
849.99990012	333.45536	291.338872	3	0
859.99990012	333.45536	294.272264	3	0
869.999900152	333.45536	297.205656	3	0
879.999900115	333.45536	300.138872	3	0
889.999900128	333.45536	303.072264	3	0
899.99990017	333.45536	306.005656	3	0
909.999900123	333.45536	308.938872	3	0
919.999900123	333.45536	311.872264	3	0
929.999900155	333.45536	314.805656	3	0
939.999900133	333.45536	317.738872	3	0
949.99990013	333.45536	320.672264	3	0
959.999900159	333.45536	323.605656	3	0
969.999900133	333.45536	326.538872	3	0
979.999900137	333.45536	329.472264	3	0
989.999900169	333.45536	332.405656	3	0
999.999900121	333.45536	335.338872	3	0
1009.999900113	333.45536	338.272264	3	0
1019.999900165	333.45536	341.205656	3	0
1029.999900131	333.45536	344.138872	3	0
1039.999900138	333.45536	347.072264	3	0
1049.999900179	333.45536	350.005656	3	0
1059.99990012	333.45536	352.938872	3	0
1069.999900111	333.45536	355.872264	3	0
1079.999900164	333.45536	358.805656	3	0
1089.999900116	333.45536	361.738872	3	0
1099.999900128	333.45536	364.672264	3	0
1109.999900171	333.45536	367.605656	3	0
1119.999900134	333.45536	370.538872	3	0
1129.99990013	333.45536	373.472264	3	0
1139.99990015	333.45536	376.405656	3	0
1149.999900126	333.45536	379.338872	3	0
1159.999900118	333.45536	382.272264	3	0
1169.999900161	333.45536	385.205656	3	0
1179.999900114	333.45536	388.138872	3	0
1189.999900114	333.45536	391.072264	3	0
1199.999900166	333.45536	394.005656	3	0
1209.999900117	333.45536	396.938872	3	0
1219.999900137	333.45536	399.872264	3	0
1229.999900168	333.45536	402.805656	3	0
1239.999900136	333.45536	405.738872	3	0
1249.999900128	333.45536	408.672264	3	0
1259.999900172	333.45536	411.605656	3	0
1269.999900124	333.45536	414.538872	3	0
1279.999900115	333.45536	417.472264	3	0
1289.999900153	333.45536	420.405656	3	0
1299.999900129	333.45536	423.338872	3	0
1309.999900125	333.45536	426.272264	3	0
1319.999900153	333.45536	429.205656	3	0
1329.99990011	333.45536	432.138872	3	0
1339.99990013	333.45536	435.072264	3	0
1349.999900166	333.45536	438.005656	3	0
1359.999900121	333.45536	440.938872	3	0
1369.999900117	333.45536	443.872264	3	0
1379.999900153	333.45536	446.805656	3	0
1389.999900139	333.45536	449.738872	3	0
1399.999900125	333.45536	452.672264	3	0
1409.999900173	333.45536	455.605656	3	0
1419.999900122	333.45536	458.538872	3	0
1429.99990013	333.45536	461.472264	3	0
1439.999900166	333.45536	464.405656	3	0
1449.999900122	333.45536	467.338872	3	0
1459.999900128	333.45536	470.272264	3	0
1469.999900204	333.45536	473.205656	3	0
1479.999900119	333.45536	476.138872	3	0
1489.999900117	333.45536	479.072264	3	0
1499.999900163	333.45536	482.005656	3	0
1509.999900119	333.45536	484.938872	3	0
1519.99990014	333.45536	487.872264	3	0
1529.999900168	333.45536	490.805656	3	0
1539.999900114	333.45536	493.738872	3	0
1549.999900131	333.45536	496.672264	3	0
1559.999900158	333.45536	499.605656	3	0
1569.999900134	333.45536	502.538872	3	0
1579.999900129	333.45536	505.472264	3	0
1589.999900165	333.45536	508.405656	3	0
1599.999900122	333.45536	511.338872	3	0
1609.99990013	333.45536	514.272264	3	0
1619.99990017	333.45536	517.205656	3	0
1629.999900136	333.45536	520.138872	3	0
1639.999900132	333.45536	523.072264	3	0
1649.999900167	333.45536	526.005656	3	0
1659.999900133	333.45536	528.938872	3	0
1669.999900129	333.45536	531.872264	3	0
1679.999900166	333.45536	534.805656	3	0
1689.999900123	333.45536	537.738872	3	0
1699.999900132	333.45536	540.672264	3	0
1709.999900163	333.45536	543.605656	3	0
1719.999900132	333.45536	546.538872	3	0
1729.999900136	333.45536	549.472264	3	0
1739.999900173	333.45536	552.405656	3	0
1749.999900129	333.45536	555.338872	3	0
1759.999900124	333.45536	558.272264	3	0
1769.999900161	333.45536	561.205656	3	0
1779.999900127	333.45536	564.138872	3	0
1789.999900123	333.45536	567.072264	3	0
1799.99990016	333.45536	570.005656	3	0
