# set	bench	threads	binary	round	wall_ns
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	9	601257028
multithreaded	big_arrays/issue-52937.jl	4	vanilla	9	9462433768
multithreaded	big_arrays/issue-52937.jl	4	regions	9	9541054055
serial	append/append.jl	1	regions	10	779256916
serial	linked/tree.jl	1	vanilla	10	8758465413
serial	linked/tree.jl	1	regions	10	8771810269
serial	strings/strings.jl	1	vanilla	10	18638164225
serial	strings/strings.jl	1	regions	10	18503770684
serial	bigint/pollard.jl	1	vanilla	10	656264476
serial	bigint/pollard.jl	1	regions	10	732006653
serial	big_arrays/single_ref.jl	1	vanilla	10	271802540
serial	big_arrays/single_ref.jl	1	regions	10	274563149
serial	big_arrays/many_refs.jl	1	vanilla	10	1731351744
serial	big_arrays/many_refs.jl	1	regions	10	1779770583
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	vanilla	10	1688623873
multithreaded	mergesort_parallel/mergesort_parallel.jl	4	regions	10	1750065610
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	vanilla	10	608766806
multithreaded	mm_divide_and_conquer/mm_divide_and_conquer.jl	4	regions	10	600574219
multithreaded	big_arrays/issue-52937.jl	4	vanilla	10	9426329343
multithreaded	big_arrays/issue-52937.jl	4	regions	10	9538746271
