# t_s	rss_mb	live_mb	reset_pages	misses
719.999900195	303.644672	253.179392	3	0
729.999900107	303.644672	256.112608	3	0
739.999900109	303.644672	259.046	3	0
749.9999002	303.644672	261.979392	3	0
759.999900111	303.644672	264.912608	3	0
769.999900112	303.644672	267.846	3	0
779.999900184	303.644672	270.779392	3	0
789.999900128	303.644672	273.712608	3	0
799.999900108	303.644672	276.646	3	0
809.99990019	303.644672	279.579392	3	0
819.999900101	303.644672	282.512608	3	0
829.999900093	303.644672	285.446	3	0
839.999900185	303.644672	288.379392	3	0
849.999900116	303.644672	291.312608	3	0
859.999900108	303.644672	294.246	3	0
869.999900189	303.644672	297.179392	3	0
879.999900091	303.644672	300.112608	3	0
889.99990011	303.644672	303.046	3	0
899.999900192	303.644672	305.979392	3	0
909.999900092	303.644672	308.912608	3	0
919.999900115	303.644672	311.846	3	0
929.999900197	303.644672	314.779392	3	0
939.999900118	303.644672	317.712608	3	0
949.999900102	303.644672	320.646	3	0
959.999900177	303.644672	323.579392	3	0
969.99990009	303.644672	326.512608	3	0
979.999900101	303.644672	329.446	3	0
989.999900182	303.644672	332.379392	3	0
999.999900094	303.644672	335.312608	3	0
1009.999900105	303.644672	338.246	3	0
1019.999900207	303.644672	341.179392	3	0
1029.999900108	303.644672	344.112608	3	0
1039.999900102	303.644672	347.046	3	0
1049.999900193	303.644672	349.979392	3	0
1059.999900115	303.644672	352.912608	3	0
1069.999900108	303.644672	355.846	3	0
1079.9999002	303.644672	358.779392	3	0
1089.999900091	303.644672	361.712608	3	0
1099.999900104	303.644672	364.646	3	0
1109.999900195	303.644672	367.579392	3	0
1119.999900096	303.644672	370.512608	3	0
1129.999900108	303.644672	373.446	3	0
1139.999900189	303.644672	376.379392	3	0
1149.9999001	303.644672	379.312608	3	0
1159.999900112	303.644672	382.246	3	0
1169.999900193	303.644672	385.179392	3	0
1179.999900108	303.644672	388.112608	3	0
1189.999900109	303.644672	391.046	3	0
1199.99990018	303.644672	393.979392	3	0
1209.999900102	303.644672	396.912608	3	0
1219.999900093	303.644672	399.846	3	0
1229.999900194	303.644672	402.779392	3	0
1239.999900117	303.644672	405.712608	3	0
1249.999900102	303.644672	408.646	3	0
1259.999900189	303.644672	411.579392	3	0
1269.999900109	303.644672	414.512608	3	0
1279.9999001	303.644672	417.446	3	0
1289.99990019	303.644672	420.379392	3	0
1299.999900101	303.644672	423.312608	3	0
1309.999900102	303.644672	426.246	3	0
1319.999900183	303.644672	429.179392	3	0
1329.999900094	303.644672	432.112608	3	0
1339.999900105	303.644672	435.046	3	0
1349.999900197	303.644672	437.979392	3	0
1359.999900108	303.644672	440.912608	3	0
1369.999900119	303.644672	443.846	3	0
1379.99990018	303.644672	446.779392	3	0
1389.999900091	303.644672	449.712608	3	0
1399.999900102	303.644672	452.646	3	0
1409.999900195	303.644672	455.579392	3	0
1419.999900095	303.644672	458.512608	3	0
1429.999900106	303.644672	461.446	3	0
1439.999900187	303.644672	464.379392	3	0
1449.999900108	303.644672	467.312608	3	0
1459.999900109	303.644672	470.246	3	0
1469.999900208	303.644672	473.179392	3	0
1479.999900099	303.644672	476.112608	3	0
1489.9999001	303.644672	479.046	3	0
1499.999900181	303.644672	481.979392	3	0
1509.999900091	303.644672	484.912608	3	0
1519.999900104	303.644672	487.846	3	0
1529.999900185	303.644672	490.779392	3	0
1539.999900096	303.644672	493.712608	3	0
1549.999900107	303.644672	496.646	3	0
1559.999900188	303.644672	499.579392	3	0
1569.999900109	303.644672	502.512608	3	0
1579.999900101	303.644672	505.446	3	0
1589.999900182	303.644672	508.379392	3	0
1599.999900104	303.644672	511.312608	3	0
1609.999900115	303.644672	514.246	3	0
1619.999900186	303.644672	517.179392	3	0
1629.999900928	303.644672	520.112608	3	0
1639.9999001	303.644672	523.046	3	0
1649.999900191	303.644672	525.979392	3	0
1659.999900102	303.644672	528.912608	3	0
1669.999900113	303.644672	531.846	3	0
1679.999900194	303.644672	534.779392	3	0
1689.999900114	303.644672	537.712608	3	0
1699.999900108	303.644672	540.646	3	0
1709.999900209	303.644672	543.579392	3	0
1719.99990009	303.644672	546.512608	3	0
1729.999900101	303.644672	549.446	3	0
1739.999900192	303.644672	552.379392	3	0
1749.999900103	303.644672	555.312608	3	0
1759.999900093	303.644672	558.246	3	0
1769.999900194	303.644672	561.179392	3	0
1779.999900095	303.644672	564.112608	3	0
1789.999900105	303.644672	567.046	3	0
1799.999900196	303.644672	569.979392	3	0
